肥沃な三日月地帯東部の新石器化 : イラク・クルディスタン、スレマニ地域チャルモ遺跡の調査(2019・2020),2021-03-27,https://cir.nii.ac.jp/crid/1050011705251838336
pXRFの考古学利用の現状と課題-肥沃の三日月地帯出土の黒曜石原産地推定を例として,2020,https://cir.nii.ac.jp/crid/1390568456356368256
コムギの栽培化：いつ、どこで、どのように？,2003,https://cir.nii.ac.jp/crid/1390001205629176192
中島健一の地理認識　－水力社会論を中心に―,2017,https://cir.nii.ac.jp/crid/1050001202932328576
ティグリス・ユーフラテス川を巡る国家間紛争とその解決の可能性　　‐国際河川紛争解決要件に関する‐考察　‐,2010,https://cir.nii.ac.jp/crid/1390001204439093120
西ユーラシア貨幣史　1―国家と計算貨幣の歴史―,2017-03-31,https://cir.nii.ac.jp/crid/1390572174703047680
環太平洋生命文明圏,2012,https://cir.nii.ac.jp/crid/1390282681472644608
「古くて新しいガラスの科学と技術」,2010,https://cir.nii.ac.jp/crid/1390001204062375808
進化する酢の方向を考える（江戸から平成へ）,2009,https://cir.nii.ac.jp/crid/1390001206129275520
空間情報データを用いたメソポタミア遺跡データベースの作成,2008,https://cir.nii.ac.jp/crid/1390001205692004352
古代メソポタミアにおける初期のスツールと床座人物像の特徴 : 印章の座像にみる初期の玉座のイメージについて(1),2005,https://cir.nii.ac.jp/crid/1390282680388492800
メソポタミア文明の知られざる都市ナバダ：メソポタミア文明の知られざる都市ナバダ：J. ブレッツシュナイダー(カソリック大学),2001-01,https://cir.nii.ac.jp/crid/1520291855435959296
ビールの機能性-I. 風味と香り (1),2000,https://cir.nii.ac.jp/crid/1390282681078984960
シュメール都市國家時代の家族に就いて : 血族と稱呼との考察,1950-04-05,https://cir.nii.ac.jp/crid/1390290699825165184
弥生時代の渡来系技術の実像,2023-10-01,https://cir.nii.ac.jp/crid/1390297924422771584
[論文] 弥生人の成立と展開Ⅱ : 韓半島新石器時代人との遺伝的な関係を中心に,2023-09-29,https://cir.nii.ac.jp/crid/1050298433142754304
青銅器時代からウイグル時代の記念建造物と城址,2023-09,https://cir.nii.ac.jp/crid/1390298278371584640
原の辻遺跡出土青銅器,2023-07-26,https://cir.nii.ac.jp/crid/1390578470373265920
モンゴル高原における遊牧の始まり,2023-06-30,https://cir.nii.ac.jp/crid/1390015133365553152
弥生青銅器の長期保有とその意義,2023-06-02,https://cir.nii.ac.jp/crid/1050296818740647552
"BRONZE AGE HORN-SHAPED CONTAINERS AND COSMETICS : A NEW IDENTIFICATION FOR A CONICAL STONE OBJECT EXCAVATED AT PARKHAI-II, SUMBAR VALLEY, SOUTH-WEST TURKMENISTAN",2023-03-31,https://cir.nii.ac.jp/crid/1050296354142778112
関与のしるしとしての鳥蟲書 青銅器銘文の記名における様式と「読みにくさ」,2023-03-31,https://cir.nii.ac.jp/crid/1050858608274989952
中国北方青銅器文化に関する日中共同研究の報告書,2023-03-31,https://cir.nii.ac.jp/crid/1390014337396584576
京都大学総合博物館ニュースレターNo. 57,2023-03-30,https://cir.nii.ac.jp/crid/1050295658320456192
柄部誇張式石剣の生産と流通,2023-03-20,https://cir.nii.ac.jp/crid/1390014183339285120
女神の神話学再考 : とくに太陽女神／王権女神について,2023-03-17,https://cir.nii.ac.jp/crid/1050577818267897600
新疆地域に於ける青銅器 : 初期鉄器時代の開発（二）,2022-06-01,https://cir.nii.ac.jp/crid/1390013198421829248
春秋秦国における青銅器生産の始まり,2022-03-30,https://cir.nii.ac.jp/crid/1390854882616284928
（翻訳）朝鮮半島南部地域における青銅器時代の火葬墓に対する考察,2022-03-10,https://cir.nii.ac.jp/crid/1390854717734931584
ティリンスにおける後期青銅器時代IIIC期から原幾何学文様期にかけての埋葬資料,2022-03,https://cir.nii.ac.jp/crid/1050010621454544256
[論文] 「初期青銅器弥生時代」の提唱 : 鉄器出現以前の弥生時代,2022-02-25,https://cir.nii.ac.jp/crid/1050858608274691712
長文銘を「見る」ための装飾的金文書体,2022,https://cir.nii.ac.jp/crid/1390856196457737728
千石コレクション漢六朝靑銅器の化學分析,2021-12-25,https://cir.nii.ac.jp/crid/1390010292886036736
新疆地域に於ける青銅器－初期鉄器時代の開発（1）,2021-12-01,https://cir.nii.ac.jp/crid/1390011262817729920
中国西周時代昭王期の青銅器考 : 祭祀儀礼からみる昭王期の特徴,2021-09-30,https://cir.nii.ac.jp/crid/1050853719959009792
細形銅剣出現後の日韓青銅器流通と鉛同位体比,2021-09,https://cir.nii.ac.jp/crid/1390009226565038464
京都大学総合博物館ニュースレターNo. 52,2021-08-25,https://cir.nii.ac.jp/crid/1050292572127992320
春秋秦国における青銅器生産の始まり,2021-06-20,https://cir.nii.ac.jp/crid/1390009225601316352
青銅製四環壺の考古学的検討,2021-03-31,https://cir.nii.ac.jp/crid/1390009224881072256
ミューオンX線による非破壊元素・同位体比分析の進展,2021-03-31,https://cir.nii.ac.jp/crid/1390295740819275776
アシネにおける後期青銅器時代IIIC期から原幾何学文様期にかけての埋葬資料,2021-03,https://cir.nii.ac.jp/crid/1050006440915233024
